id,longitude,latitude,time,mean_2m_air_temperature,minimum_2m_air_temperature,maximum_2m_air_temperature,dewpoint_2m_temperature,total_precipitation,surface_pressure,mean_sea_level_pressure,u_component_of_wind_10m,v_component_of_wind_10m,site_id
199810,3.7183290819096246,43.80905325067007,1998-10-01,283.81072998046875,274.34124755859375,293.4387512207031,280.4735107421875,0.05024014413356781,94232.21875,101854.8515625,1.9051605463027954,-1.4093583822250366,8
199811,3.7183290819096246,43.80905325067007,1998-11-01,277.2515563964844,265.9916687011719,290.09710693359375,273.0416564941406,0.02644101157784462,94175.203125,101957.53125,1.9014140367507935,-2.1385674476623535,8
199812,3.7183290819096246,43.80905325067007,1998-12-01,276.5567321777344,268.91632080078125,287.5847473144531,273.3838195800781,0.13959422707557678,94476.4375,102275.4375,0.6019282937049866,-1.182099461555481,8
199901,3.7183290819096246,43.80905325067007,1999-01-01,277.2907409667969,267.2076416015625,288.101318359375,274.7649841308594,0.09320548176765442,94207.4609375,102001.4375,1.0302417278289795,-1.3173826932907104,8
199902,3.7183290819096246,43.80905325067007,1999-02-01,276.417724609375,265.9171142578125,286.6541748046875,271.8659362792969,0.02614293247461319,94198.171875,102052.65625,3.3206088542938232,-2.9082391262054443,8
199903,3.7183290819096246,43.80905325067007,1999-03-01,280.3662109375,272.18890380859375,291.6827697753906,275.5111999511719,0.07643725723028183,93718.625,101400.515625,0.7777969837188721,-1.114422082901001,8
199904,3.7183290819096246,43.80905325067007,1999-04-01,282.49176025390625,273.580078125,294.8935241699219,277.7335205078125,0.08062217384576797,93929.4921875,101583.5078125,1.4990824460983276,-1.3756965398788452,8
199905,3.7183290819096246,43.80905325067007,1999-05-01,287.9075012207031,279.2033996582031,297.86126708984375,283.9407043457031,0.2125423401594162,94042.1484375,101568.625,0.1402883380651474,-0.18087854981422424,8
199906,3.7183290819096246,43.80905325067007,1999-06-01,289.6631164550781,279.59912109375,298.95941162109375,282.3294372558594,0.0317205935716629,94297.0546875,101817.1015625,1.412126898765564,-1.5993921756744385,8
199907,3.7183290819096246,43.80905325067007,1999-07-01,293.0539855957031,282.0653991699219,302.9759216308594,285.2059020996094,0.025341583415865898,94110.6640625,101565.5390625,0.890460193157196,-1.1949279308319092,8
199908,3.7183290819096246,43.80905325067007,1999-08-01,292.74786376953125,283.7095947265625,301.3367614746094,287.301025390625,0.0600532591342926,93979.109375,101423.5703125,0.6282657384872437,-0.530839204788208,8
199909,3.7183290819096246,43.80905325067007,1999-09-01,289.8105773925781,281.2723388671875,302.4253845214844,285.7878112792969,0.13478487730026245,93906.15625,101380.375,-0.004776043351739645,0.10234521329402924,8
199910,3.7183290819096246,43.80905325067007,1999-10-01,284.92413330078125,273.9208068847656,293.05926513671875,281.8772277832031,0.16776983439922333,94100.7109375,101666.9140625,0.026674045249819756,-0.6016588807106018,8
199911,3.7183290819096246,43.80905325067007,1999-11-01,277.9135437011719,269.6011047363281,289.79864501953125,274.5318603515625,0.1397046148777008,94297.78125,102085.4921875,0.8364369869232178,-1.908285140991211,8
